time,state,accel,vel,alt,roll,s1,s2,s3,ax,ay,az,gx,gy,gz,baro,temp
4774,1,0.958374,0.048636306,36.164192,-0.30517578,90,90,90,-0.041625977,-0.16015625,0.99121094,-0.30517578,0.3662109,-0.122070305,36.32673,27.39791
4836,1,0.95910645,0.0503064,36.17156,-0.42724606,90,90,90,-0.040893555,-0.16088867,0.9904785,-0.42724606,0.30517578,-0.122070305,36.408318,27.387838
4898,1,0.95910645,0.04966754,36.172997,-0.30517578,90,90,90,-0.040893555,-0.15930176,0.99035645,-0.30517578,0.3662109,-0.061035153,36.218372,27.39791
4960,1,0.95788574,0.048526563,36.17302,-0.30517578,90,90,90,-0.042114258,-0.16174316,0.99108887,-0.30517578,0.42724606,-0.122070305,36.173756,27.40798
5022,1,0.95910645,0.051611416,36.184402,-0.3662109,90,90,90,-0.040893555,-0.15979004,0.99194336,-0.3662109,0.3662109,-0.18310545,36.56321,27.39791
5084,1,0.95825195,0.050977103,36.185886,-0.30517578,90,90,90,-0.041748047,-0.16040039,0.9918213,-0.30517578,0.42724606,-0.122070305,36.233032,27.40798
5146,1,0.9588623,0.048681226,36.182728,-0.3662109,90,90,90,-0.041137695,-0.15942383,0.99194336,-0.3662109,0.30517578,-0.061035153,36.08006,27.40798
5208,1,0.9593506,0.045542803,36.177086,-0.24414061,90,90,90,-0.040649414,-0.1616211,0.99243164,-0.24414061,0.3662109,-0.122070305,35.9921,27.39791
5270,1,0.9580078,0.04516333,36.178867,-0.3662109,90,90,90,-0.041992188,-0.16137695,0.9908447,-0.3662109,0.3662109,-0.122070305,36.236855,27.39791
5332,1,0.9597168,0.04587601,36.183662,-0.122070305,90,90,90,-0.040283203,-0.15820312,0.9925537,-0.122070305,0.3662109,-0.061035153,36.342667,27.39791
5394,1,0.95703125,0.04514801,36.184437,-0.24414061,90,90,90,-0.04296875,-0.1628418,0.9918213,-0.24414061,0.3662109,-0.122070305,36.210087,27.40798
5456,1,0.95910645,0.04293992,36.180862,-0.3662109,90,90,90,-0.040893555,-0.16040039,0.99157715,-0.3662109,0.42724606,-0.122070305,36.05966,27.40798
5518,1,0.9605713,0.04615911,36.19283,-0.24414061,90,90,90,-0.03942871,-0.16186523,0.991333,-0.24414061,0.3662109,-0.061035153,36.600178,27.40798
5580,1,0.95751953,0.043788664,36.188892,-0.24414061,90,90,90,-0.04248047,-0.16088867,0.9920654,-0.24414061,0.3662109,-0.122070305,36.061573,27.39791
5642,1,0.9577637,0.04096581,36.18351,-0.3662109,90,90,90,-0.042236328,-0.16137695,0.9906006,-0.3662109,0.3662109,-0.122070305,36.00867,27.40798
5704,1,0.95996094,0.040530857,36.184807,-0.30517578,90,90,90,-0.040039062,-0.15991211,0.99121094,-0.30517578,0.42724606,-0.061035153,36.226658,27.40798
5766,1,0.95861816,0.0402308,36.186447,-0.30517578,90,90,90,-0.041381836,-0.16247559,0.9906006,-0.30517578,0.42724606,-0.061035153,36.24068,27.40798
5828,1,0.9569092,0.03896753,36.1852,-0.30517578,90,90,90,-0.04309082,-0.16003418,0.9908447,-0.30517578,0.3662109,-0.122070305,36.143158,27.39791
5890,1,0.95910645,0.04005971,36.19088,-0.3662109,90,90,90,-0.040893555,-0.1607666,0.991333,-0.3662109,0.3662109,-0.061035153,36.38601,27.39791
5952,1,0.9592285,0.039268732,36.190975,-0.30517578,90,90,90,-0.040771484,-0.15991211,0.9906006,-0.30517578,0.3662109,-0.061035153,36.194153,27.39791
6014,1,0.9576416,0.03905765,36.192764,-0.24414061,90,90,90,-0.0423584,-0.16040039,0.9920654,-0.24414061,0.3662109,-0.061035153,36.25534,27.40798
6076,1,0.9589844,0.037826765,36.191353,-0.3662109,90,90,90,-0.041015625,-0.16125488,0.99035645,-0.3662109,0.42724606,-0.18310545,36.141247,27.40798
6138,1,0.95874023,0.034915537,36.184563,-0.24414061,90,90,90,-0.041259766,-0.1628418,0.991333,-0.24414061,0.3662109,-0.061035153,35.939198,27.39791
6200,1,0.9592285,0.03415818,36.184372,-0.30517578,90,90,90,-0.040771484,-0.15844727,0.9914551,-0.30517578,0.3662109,-0.122070305,36.177578,27.39791
6262,1,0.9588623,0.034832787,36.188614,-0.24414061,90,90,90,-0.041137695,-0.16259766,0.9914551,-0.24414061,0.3662109,-0.061035153,36.342667,27.39791
6324,1,0.95874023,0.032723907,36.184048,-0.3662109,90,90,90,-0.041259766,-0.15917969,0.99108887,-0.3662109,0.3662109,-0.18310545,36.018867,27.387838
6386,1,0.960083,0.03389117,36.189793,-0.30517578,90,90,90,-0.039916992,-0.16101074,0.99121094,-0.30517578,0.48828122,-0.18310545,36.396206,27.39791
6448,1,0.95825195,0.032171823,36.18638,-0.3662109,90,90,90,-0.041748047,-0.16040039,0.99108887,-0.3662109,0.3662109,-0.061035153,36.0654,27.40798
6510,1,0.95825195,0.031530987,36.186314,-0.30517578,90,90,90,-0.041748047,-0.15979004,0.99072266,-0.30517578,0.3662109,-0.061035153,36.183952,27.40798
6572,1,0.9597168,0.029188566,36.180645,-0.24414061,90,90,90,-0.040283203,-0.16125488,0.99121094,-0.24414061,0.3662109,-0.122070305,35.973614,27.40798
6634,1,0.9593506,0.029407192,36.183163,-0.30517578,90,90,90,-0.040649414,-0.16003418,0.99157715,-0.30517578,0.42724606,-0.122070305,36.273827,27.40798
6696,1,0.9576416,0.028325299,36.181423,-0.3662109,90,90,90,-0.0423584,-0.16210938,0.99157715,-0.3662109,0.42724606,-0.122070305,36.1183,27.40798
6758,1,0.9604492,0.027882194,36.18171,-0.3662109,90,90,90,-0.03955078,-0.1607666,0.9921875,-0.3662109,0.30517578,-0.122070305,36.192238,27.40798
6820,1,0.95874023,0.026979357,36.1804,-0.42724606,90,90,90,-0.041259766,-0.1619873,0.9920654,-0.42724606,0.3662109,-0.061035153,36.13105,27.387838
6882,1,0.9604492,0.026236853,36.179554,-0.3662109,90,90,90,-0.03955078,-0.16088867,0.99035645,-0.3662109,0.42724606,-0.122070305,36.146984,27.40798
6944,1,0.9588623,0.027291318,36.184795,-0.3662109,90,90,90,-0.041137695,-0.16064453,0.99157715,-0.3662109,0.3662109,-0.061035153,36.38983,27.428123
7006,1,0.95947266,0.026345447,36.183224,-0.30517578,90,90,90,-0.040527344,-0.16137695,0.9921875,-0.30517578,0.3662109,-0.061035153,36.122765,27.40798
7068,1,0.9592285,0.026453868,36.185234,-0.24414061,90,90,90,-0.040771484,-0.16149902,0.9920654,-0.24414061,0.3662109,-0.122070305,36.263626,27.40798
7130,1,0.9592285,0.026137674,36.185757,-0.30517578,90,90,90,-0.040771484,-0.16113281,0.99243164,-0.30517578,0.3662109,-0.122070305,36.20626,27.40798
7192,1,0.95861816,0.025159614,36.183872,-0.30517578,90,90,90,-0.041381836,-0.1595459,0.9918213,-0.30517578,0.42724606,-0.122070305,36.108105,27.428123
7254,1,0.95874023,0.024017056,36.181313,-0.30517578,90,90,90,-0.041259766,-0.16027832,0.99243164,-0.30517578,0.42724606,-0.122070305,36.077507,27.40798
7316,1,0.9609375,0.024243237,36.18362,-0.24414061,90,90,90,-0.0390625,-0.1595459,0.9923096,-0.24414061,0.3662109,-0.18310545,36.27765,27.387838
7378,1,0.9584961,0.025570612,36.19,-0.3662109,90,90,90,-0.041503906,-0.16186523,0.9904785,-0.3662109,0.42724606,-0.122070305,36.451023,27.40798
7440,1,0.95947266,0.025099102,36.18985,-0.30517578,90,90,90,-0.040527344,-0.15844727,0.99121094,-0.30517578,0.3662109,-0.061035153,36.183952,27.40798
7502,1,0.95947266,0.02320998,36.18438,-0.3662109,90,90,90,-0.040527344,-0.16369629,0.99121094,-0.3662109,0.3662109,-0.122070305,35.961506,27.428123
7564,1,0.958374,0.023045769,36.18521,-0.30517578,90,90,90,-0.041625977,-0.15942383,0.99108887,-0.30517578,0.3662109,-0.122070305,36.218372,27.40798
7626,1,0.95910645,0.023084832,36.186787,-0.3662109,90,90,90,-0.040893555,-0.1607666,0.99157715,-0.3662109,0.42724606,-0.18310545,36.250877,27.428123
7688,1,0.9581299,0.02205644,36.184296,-0.3662109,90,90,90,-0.041870117,-0.16015625,0.9918213,-0.3662109,0.3662109,-0.122070305,36.08197,27.428123
7750,1,0.95825195,0.021937383,36.185207,-0.30517578,90,90,90,-0.041748047,-0.16088867,0.9906006,-0.30517578,0.3662109,-0.061035153,36.222836,27.40798
7812,1,0.9592285,0.020857649,36.182373,-0.3662109,90,90,90,-0.040771484,-0.15966797,0.99108887,-0.3662109,0.3662109,-0.18310545,36.063484,27.387838
7874,1,0.9572754,0.019996736,36.180313,-0.3662109,90,90,90,-0.04272461,-0.16113281,0.9914551,-0.3662109,0.3662109,-0.122070305,36.09408,27.40798
7936,1,0.958374,0.019109106,36.178078,-0.3662109,90,90,90,-0.041625977,-0.1607666,0.991333,-0.3662109,0.42724606,-0.122070305,36.08388,27.40798
7998,1,0.95874023,0.018196024,36.17567,-0.3662109,90,90,90,-0.041259766,-0.16088867,0.9916992,-0.3662109,0.42724606,-0.122070305,36.073685,27.428123
8060,1,0.9577637,0.017731834,36.174965,-0.3662109,90,90,90,-0.042236328,-0.15991211,0.9914551,-0.3662109,0.42724606,-0.122070305,36.145073,27.39791
8122,1,0.9593506,0.016349949,36.17055,-0.24414061,90,90,90,-0.040649414,-0.16088867,0.99157715,-0.24414061,0.3662109,-0.061035153,35.97999,27.40798
8184,1,0.9581299,0.015595264,36.16856,-0.30517578,90,90,90,-0.041870117,-0.16149902,0.9914551,-0.30517578,0.3662109,-0.122070305,36.08388,27.40798
8246,1,0.95825195,0.015114829,36.167603,-0.3662109,90,90,90,-0.041748047,-0.15942383,0.9908447,-0.3662109,0.3662109,-0.122070305,36.126587,27.40798
8308,1,0.9593506,0.015950212,36.171917,-0.3662109,90,90,90,-0.040649414,-0.16174316,0.99243164,-0.3662109,0.42724606,-0.061035153,36.359238,27.39791
8370,1,0.95947266,0.016587768,36.175495,-0.30517578,90,90,90,-0.040527344,-0.1595459,0.9923096,-0.30517578,0.3662109,-0.061035153,36.328644,27.428123
8432,1,0.9588623,0.01537273,36.171555,-0.30517578,90,90,90,-0.041137695,-0.16027832,0.9916992,-0.30517578,0.3662109,-0.122070305,36.004208,27.40798
8494,1,0.95947266,0.01423511,36.16786,-0.3662109,90,90,90,-0.040527344,-0.16040039,0.99121094,-0.3662109,0.42724606,-0.061035153,36.012497,27.40798
8556,1,0.9595947,0.014085494,36.16813,-0.30517578,90,90,90,-0.040405273,-0.16064453,0.9916992,-0.30517578,0.3662109,-0.061035153,36.17949,27.40798
8618,1,0.95825195,0.014445606,36.170494,-0.3662109,90,90,90,-0.041748047,-0.15917969,0.9914551,-0.3662109,0.42724606,-0.122070305,36.271275,27.40798
8680,1,0.9576416,0.013991846,36.16949,-0.30517578,90,90,90,-0.0423584,-0.15930176,0.9920654,-0.30517578,0.3662109,-0.122070305,36.126587,27.428123
8742,1,0.95947266,0.013131179,36.166725,-0.30517578,90,90,90,-0.040527344,-0.1607666,0.9916992,-0.30517578,0.30517578,-0.122070305,36.046913,27.428123
8804,1,0.95825195,0.012887564,36.166508,-0.30517578,90,90,90,-0.041748047,-0.16088867,0.99194336,-0.30517578,0.3662109,-0.18310545,36.15718,27.39791
8866,1,0.9584961,0.014003312,36.172085,-0.30517578,90,90,90,-0.041503906,-0.15979004,0.9926758,-0.30517578,0.3662109,-0.061035153,36.418514,27.40798
8928,1,0.9584961,0.014523368,36.17518,-0.3662109,90,90,90,-0.041503906,-0.16149902,0.99121094,-0.3662109,0.42724606,-0.061035153,36.308247,27.40798
8990,1,0.95825195,0.014533061,36.17612,-0.3662109,90,90,90,-0.041748047,-0.16040039,0.991333,-0.3662109,0.42724606,-0.122070305,36.21646,27.40798
9052,1,0.9592285,0.0131613575,36.171024,-0.3662109,90,90,90,-0.040771484,-0.16064453,0.9908447,-0.3662109,0.3662109,-0.061035153,35.949394,27.428123
9114,1,0.95910645,0.013731277,36.17432,-0.3662109,90,90,90,-0.040893555,-0.16015625,0.9926758,-0.3662109,0.3662109,-0.061035153,36.31462,27.428123
9176,1,0.95751953,0.013308603,36.17332,-0.42724606,90,90,90,-0.04248047,-0.15979004,0.98999023,-0.42724606,0.3662109,-0.18310545,36.13105,27.40798
9238,1,0.95788574,0.013912328,36.17681,-0.30517578,90,90,90,-0.042114258,-0.16040039,0.99121094,-0.30517578,0.3662109,-0.061035153,36.32673,27.428123
9300,1,0.9593506,0.01351178,36.175896,-0.3662109,90,90,90,-0.040649414,-0.15893555,0.991333,-0.3662109,0.42724606,-0.122070305,36.136787,27.40798
9362,1,0.95874023,0.014525485,36.18127,-0.3662109,90,90,90,-0.041259766,-0.1619873,0.9893799,-0.3662109,0.42724606,-0.061035153,36.414055,27.428123
9424,1,0.9593506,0.014736051,36.183113,-0.30517578,90,90,90,-0.040649414,-0.1595459,0.9914551,-0.30517578,0.30517578,-0.122070305,36.261078,27.40798
9486,1,0.9581299,0.013452452,36.178223,-0.30517578,90,90,90,-0.041870117,-0.15966797,0.9921875,-0.30517578,0.42724606,-0.061035153,35.96979,27.428123
9548,1,0.9604492,0.012416995,36.174397,-0.24414061,90,90,90,-0.03955078,-0.15905762,0.99194336,-0.24414061,0.3662109,-0.122070305,36.01441,27.428123
9610,1,0.95996094,0.013330109,36.17927,-0.3662109,90,90,90,-0.040039062,-0.16186523,0.9920654,-0.3662109,0.3662109,-0.122070305,36.381546,27.40798
9672,1,0.95825195,0.014341054,36.184647,-0.30517578,90,90,90,-0.041748047,-0.15881348,0.99157715,-0.30517578,0.3662109,-0.061035153,36.403854,27.40798
9734,1,0.9597168,0.012787492,36.17855,-0.3662109,90,90,90,-0.040283203,-0.16101074,0.9914551,-0.3662109,0.42724606,-0.061035153,35.934734,27.428123
